p sp 32768 524288
a 1 15563 82
a 1 4663 92
a 1 15621 74
a 1 29192 90
a 1 12195 63
a 1 23969 58
a 1 13332 96
a 1 27714 76
a 1 30473 63
a 1 27277 89
a 1 31322 31
a 1 26145 97
a 1 11127 81
a 1 16841 95
a 1 13329 92
a 1 907 82
a 1 28680 96
a 1 1244 98
a 1 2763 98
a 1 14123 83
a 1 2198 99
a 1 18747 20
a 1 10538 99
a 1 20852 83
a 1 25179 32
a 1 20845 65
a 1 10561 97
a 1 11666 43
a 1 9160 85
a 1 4659 86
a 1 23620 88
a 1 1640 93
a 1 29779 45
a 1 19986 36
a 1 5714 27
a 1 1951 38
a 1 8445 92
a 1 22707 67
a 1 11380 26
a 1 15237 82
a 1 10793 99
a 1 6536 93
a 1 22652 46
a 1 12424 82
a 1 21337 92
a 1 25307 73
a 1 73 99
a 1 3620 99
a 1 15914 81
a 1 16677 95
a 1 3294 39
a 1 19026 91
a 1 8961 99
a 1 29842 67
a 1 9377 99
a 1 14391 93
a 1 30305 17
a 1 13097 26
a 1 19938 96
a 1 25096 80
a 1 14982 30
a 1 17696 14
a 1 6759 71
a 1 20847 16
a 1 21080 95
a 1 20679 71
a 1 11880 69
a 1 16931 99
a 1 11395 76
a 1 10459 14
a 1 5347 81
a 1 13221 46
a 1 11412 45
a 1 7747 84
a 1 19778 91
a 1 12065 80
a 1 19101 66
a 1 421 99
a 1 19229 6
a 1 17323 24
a 1 32353 40
a 1 4277 98
a 1 1084 98
a 1 7271 44
a 1 31781 97
a 1 15779 7
a 1 20499 89
a 1 7436 24
a 1 25535 61
a 1 5953 93
a 1 19601 58
a 1 23533 33
a 1 10133 6
a 1 16883 84
a 1 17927 62
a 1 27415 3
a 1 7237 94
a 1 5329 98
a 1 412 98
a 1 21841 72
a 1 1912 12
a 1 10735 70
a 1 22308 64
a 1 11018 77
a 1 31047 2
a 1 21626 60
a 1 6571 46
a 1 11271 92
a 1 22113 63
a 1 14026 98
a 1 25603 99
a 1 16197 84
a 1 20902 67
a 1 8583 97
a 1 9379 98
a 1 15050 35
a 1 8315 95
a 1 10869 78
a 1 20097 93
a 1 9116 94
a 1 18621 97
a 1 251 98
a 1 21656 89
a 1 2732 78
a 1 2862 45
a 1 549 99
a 1 28055 97
a 1 28836 58
a 1 16545 96
a 1 29747 96
a 1 813 78
a 1 29289 26
a 1 17723 15
a 1 8616 68
a 1 19921 3
a 1 14658 87
a 1 2473 95
a 1 28994 45
a 1 22600 68
a 1 14122 63
a 1 22307 33
a 1 2096 91
a 1 8852 95
a 1 25611 68
a 1 4207 99
a 1 22681 57
a 1 60 96
a 1 27751 9
a 1 25937 59
a 1 26893 64
a 1 6866 88
a 1 11665 30
a 1 12522 78
a 1 20705 53
a 1 16971 64
a 1 23239 47
a 1 8612 98
a 1 21363 29
a 1 9450 43
a 1 30724 76
a 1 22338 53
a 1 29996 19
a 1 12413 74
a 1 25318 10
a 1 6762 17
a 1 13080 62
a 1 27850 84
a 1 11881 51
a 1 27677 56
a 1 13288 54
a 1 28288 42
a 1 31562 66
a 1 29107 44
a 1 6170 97
a 1 25521 74
a 1 25828 45
a 1 2470 87
a 1 25916 12
a 1 13460 98
a 1 16566 97
a 1 2705 97
a 1 28004 86
a 1 15538 23
a 1 20698 34
a 1 19056 22
a 1 10163 90
a 1 3186 67
a 1 2131 99
a 1 12824 46
a 1 19717 79
a 1 8358 97
a 1 21208 55
a 1 4249 99
a 1 25929 59
a 1 23205 0
a 1 25337 99
a 1 15502 99
a 1 17652 36
a 1 19240 84
a 1 18905 17
a 1 7745 84
a 1 20013 82
a 1 3075 99
a 1 31 97
a 1 5940 4
a 1 15541 71
a 1 21014 97
a 1 16392 96
a 1 11992 71
a 1 112 98
a 1 30723 70
a 1 9490 97
a 1 15018 76
a 1 18019 78
a 1 4602 55
a 1 20705 90
a 1 26057 86
a 1 14477 73
a 1 21128 29
a 1 17269 45
a 1 29061 91
a 1 32092 6
a 1 25864 59
a 1 16143 13
a 1 1220 86
a 1 20230 84
a 1 16834 98
a 1 28843 76
a 1 8394 99
a 1 21081 98
a 1 12117 99
a 1 18025 65
a 1 29444 19
a 1 10310 98
a 1 13419 49
a 1 8337 99
a 1 16628 54
a 1 10527 86
a 1 4566 75
a 1 11578 98
a 1 113 98
a 1 9301 99
a 1 22072 56
a 1 28880 79
a 1 16959 97
a 1 10981 80
a 1 1186 99
a 1 24866 96
a 1 8130 20
a 1 4797 90
a 1 11422 98
a 1 25518 80
a 1 14289 7
a 1 13429 74
a 1 452 84
a 1 14019 92
a 1 1072 94
a 1 5395 97
a 1 5498 10
a 1 6152 98
a 1 1282 99
a 1 2025 84
a 1 9805 79
a 1 26662 97
a 1 25220 95
a 1 19684 34
a 1 25895 63
a 1 8673 75
a 1 20569 87
a 1 6961 65
a 1 510 71
a 1 24908 51
a 1 21101 91
a 1 7431 84
a 1 4950 73
a 1 28697 77
a 1 3878 93
a 1 13225 70
a 1 9309 90
a 1 17411 99
a 1 26610 77
a 1 9354 98
a 1 8973 97
a 1 18627 91
a 1 26925 66
a 1 447 97
a 1 1414 96
a 1 6222 76
a 1 16533 92
a 1 5723 42
a 1 3297 93
a 1 16169 61
a 1 23875 3
a 1 3859 91
a 1 12667 36
a 1 24773 97
a 1 11373 75
a 1 4961 94
a 1 15385 71
a 1 29037 12
a 1 9332 92
a 1 5495 15
a 1 29889 81
a 1 4408 37
a 1 28802 92
a 1 15463 75
a 1 17215 57
a 1 17622 73
a 1 2897 95
a 1 13606 93
a 1 16410 90
a 1 2507 98
a 1 5915 27
a 1 7878 75
a 1 21322 92
a 1 23850 28
a 1 908 93
a 1 2338 94
a 1 16501 93
a 1 9589 71
a 1 19509 46
a 1 22915 93
a 1 28936 24
a 1 12832 74
a 1 26162 75
a 1 24417 88
a 1 20591 96
a 1 3593 99
a 1 11877 53
a 1 30227 84
a 1 2565 98
a 1 14475 91
a 1 2384 11
a 1 19626 68
a 1 3735 88
a 1 30245 75
a 1 21835 47
a 1 22566 53
a 1 27270 99
a 1 503 90
a 1 13505 99
a 1 13173 81
a 1 24073 87
a 1 25110 89
a 1 88 99
a 1 18905 72
a 1 29991 0
a 1 1342 93
a 1 18723 99
a 1 26947 79
a 1 4622 69
a 1 17636 79
a 1 8552 88
a 1 6955 46
a 1 22737 96
a 1 2740 83
a 1 10379 98
a 1 4179 97
a 1 23987 56
a 1 3037 47
a 1 3600 65
a 1 4221 77
a 1 3388 96
a 1 13097 94
a 1 22005 13
a 1 27446 67
a 1 11301 94
a 1 17370 58
a 1 11782 86
a 1 7206 78
a 1 5146 95
a 1 1583 92
a 1 2847 91
a 1 2675 97
a 1 11395 83
a 1 8426 98
a 1 18584 95
a 1 11777 96
a 1 13469 37
a 1 5194 81
a 1 1376 92
a 1 3951 16
a 1 25098 95
a 1 9709 15
a 1 14354 95
a 1 5805 71
a 1 14225 91
a 1 11849 33
a 1 18094 71
a 1 16840 91
a 1 9876 30
a 1 8438 75
a 1 16977 98
a 1 11662 34
a 1 20521 98
a 1 16911 95
a 1 24607 75
a 1 25922 92
a 1 18216 17
a 1 8760 89
a 1 20900 92
a 1 2063 97
a 1 2218 95
a 1 3917 69
a 1 22326 63
a 1 14834 79
a 1 31910 89
a 1 17950 79
a 1 22695 45
a 1 23379 44
a 1 19353 94
a 1 7378 32
a 1 21925 33
a 1 16784 62
a 1 27015 13
a 1 29807 97
a 1 20609 97
a 1 8873 96
a 1 11528 89
a 1 9240 92
a 1 19811 76
a 1 25023 83
a 1 23573 50
a 1 10350 25
a 1 11596 4
a 1 596 95
a 1 14609 93
a 1 21836 19
a 1 25721 42
a 1 4574 81
a 1 22638 23
a 1 26787 88
a 1 22619 5
a 1 8934 36
a 1 7281 94
a 1 28744 87
a 1 6810 82
a 1 856 77
a 1 1137 96
a 1 10403 93
a 1 30474 54
a 1 22621 92
a 1 1787 99
a 1 2392 94
a 1 31841 53
a 1 25722 0
a 1 18205 69
a 1 21985 53
a 1 17665 98
a 1 9043 47
a 1 28788 63
a 1 3764 34
a 1 25277 46
a 1 2755 92
a 1 10408 98
a 1 10141 70
a 1 8268 81
a 1 31077 26
a 1 750 69
a 1 4199 99
a 1 13657 99
a 1 30293 1
a 1 19549 85
a 1 8780 85
a 1 297 99
a 1 1565 91
a 1 16562 81
a 1 17538 86
a 1 23125 31
a 1 28001 15
a 1 29522 45
a 1 17159 97
a 1 29737 95
a 1 6837 82
a 1 32018 68
a 1 11175 77
a 1 1722 94
a 1 5004 70
a 1 25174 58
a 1 13771 9
a 1 17291 80
a 1 3467 80
a 1 10570 90
a 1 163 99
a 1 2726 99
a 1 10690 96
a 1 12339 95
a 1 7942 65
a 1 26179 65
a 1 19208 45
a 1 7334 85
a 1 23055 90
a 1 13891 6
a 1 15991 62
a 1 1584 65
a 1 13674 82
a 1 17262 90
a 1 9197 77
a 1 1218 99
a 1 29234 99
a 1 8550 82
a 1 24332 73
a 1 13891 28
a 1 14670 34
a 1 29637 83
a 1 8966 97
a 1 7437 67
a 1 13364 74
a 1 12620 61
a 1 29990 82
a 1 19636 80
a 1 15010 48
a 1 1195 74
a 1 6683 67
a 1 7837 44
a 1 20599 61
a 1 18186 68
a 1 16217 48
a 1 4499 91
a 1 5753 93
a 1 16723 96
a 1 5733 93
a 1 22785 88
a 1 4308 93
a 1 5333 98
a 1 14877 2
a 1 15018 81
a 1 2647 92
a 1 29129 59
a 1 6602 85
a 1 9555 65
a 1 188 87
a 1 9446 92
a 1 20308 27
a 1 13483 24
a 1 18620 97
a 1 9624 60
a 1 29033 46
a 1 28812 45
a 1 4390 90
a 1 2900 91
a 1 8093 12
a 1 19022 50
a 1 15567 2
a 1 21809 85
a 1 10069 67
a 1 9521 95
a 1 11092 38
a 1 11717 80
a 1 22149 98
a 1 10883 75
a 1 27970 58
a 1 13271 51
a 1 18794 37
a 1 13673 44
a 1 6433 97
a 1 19091 95
a 1 8646 70
a 1 7650 88
a 1 11038 63
a 1 5572 23
a 1 24877 96
a 1 24005 74
a 1 16858 78
a 1 17591 79
a 1 22909 6
a 1 6945 99
a 1 12804 82
a 1 28673 99
a 1 21286 69
a 1 17999 45
a 1 4180 98
a 1 6278 95
a 1 2521 66
a 1 3002 84
a 1 15528 12
a 1 5608 98
a 1 8543 74
a 1 27752 70
a 1 22163 26
a 1 15109 68
a 1 8221 96
a 1 29124 89
a 1 27815 59
a 1 533 99
a 1 21315 20
a 1 14935 71
a 1 27554 47
a 1 11670 74
a 1 8616 95
a 1 21533 84
a 1 27653 99
a 1 901 98
a 1 24750 80
a 1 3393 99
a 1 1040 99
a 1 6610 37
a 1 17075 73
a 1 7274 64
a 1 4459 90
a 1 27525 85
a 1 17746 50
a 1 18594 80
a 1 20890 18
a 1 3737 82
a 1 366 99
a 1 4556 44
a 1 3606 93
a 1 15377 74
a 1 8866 97
a 1 16482 96
a 1 18731 84
a 1 19412 85
a 1 19742 70
a 1 8310 98
a 1 16934 95
a 1 14096 28
a 1 22246 94
a 1 4842 82
a 1 1087 98
a 1 4501 93
a 1 26668 65
a 1 24786 73
a 1 3538 82
a 1 21043 71
a 1 9621 99
a 1 26802 84
a 1 12714 23
a 1 27666 64
a 1 15109 72
a 1 1241 99
a 1 7436 83
a 1 29698 95
a 1 2336 91
a 1 9378 98
a 1 30029 8
a 1 4261 99
a 1 399 98
a 1 1145 98
a 1 4248 97
a 1 5478 99
a 1 19613 85
a 1 7291 9
a 1 9562 65
a 1 7382 79
a 1 12739 96
a 1 5937 88
a 1 17763 88
a 1 12153 21
a 1 4622 74
a 1 17057 98
a 1 25051 76
a 1 30026 80
a 1 5264 74
a 1 2330 95
a 1 28178 30
a 1 4593 77
a 1 1120 90
a 1 1576 68
a 1 13826 66
a 1 6989 10
a 1 10548 92
a 1 22474 67
a 1 5859 43
a 1 31879 19
a 1 9325 92
a 1 229 96
a 1 561 99
a 1 6796 58
a 1 6841 55
a 1 7248 41
a 1 24621 95
a 1 16435 99
a 1 17399 64
a 1 31762 79
a 1 13326 88
a 1 10350 68
a 1 23942 74
a 1 13426 99
a 1 15876 73
a 1 13110 72
a 1 21373 57
a 1 23877 83
a 1 4458 93
a 1 30881 57
a 1 812 88
a 1 6092 87
a 1 2173 99
a 1 23946 87
a 1 1810 90
a 1 2068 97
a 1 202 98
a 1 8129 89
a 1 22372 65
a 1 2089 99
a 1 19155 77
a 1 26803 7
a 1 7468 30
a 1 25059 99
a 1 1393 86
a 1 15562 47
a 1 8329 99
a 1 27843 41
a 1 6284 92
a 1 3013 99
a 1 22534 99
a 1 18444 82
a 1 3982 67
a 1 29262 91
a 1 1427 96
a 1 4335 75
a 1 2317 98
a 1 12970 98
a 1 24893 53
a 1 16865 89
a 1 17950 90
a 1 26730 99
a 1 28836 95
a 1 1764 84
a 1 13258 14
a 1 1775 82
a 1 13826 84
a 1 4439 91
a 1 7081 52
a 1 21029 95
a 1 1862 90
a 1 274 98
a 1 28943 3
a 1 17808 89
a 1 19443 76
a 1 9075 85
a 1 29514 81
a 1 22321 52
a 1 16521 98
a 1 6979 95
a 1 18747 55
a 1 18088 96
a 1 22925 32
a 1 25194 27
a 1 5186 94
a 1 140 99
a 1 15692 35
a 1 9224 98
a 1 17977 61
a 1 2820 97
a 1 15428 16
a 1 20637 52
a 1 24667 75
a 1 26994 12
a 1 12744 82
a 1 25430 28
a 1 24083 79
a 1 20546 98
a 1 16764 87
a 1 2391 94
a 1 2284 48
a 1 21189 76
a 1 4957 96
a 1 10780 45
a 1 11429 83
a 1 4018 54
a 1 9171 77
a 1 24699 96
a 1 5365 64
a 1 855 60
a 1 10851 97
a 1 14340 94
a 1 6957 77
a 1 20004 47
a 1 4178 93
a 1 668 99
a 1 9515 88
a 1 14888 38
a 1 11305 97
a 2 3170 27
a 2 11842 71
a 2 8716 59
a 2 142 76
a 2 16968 37
a 2 1454 35
a 2 10798 14
a 2 8778 33
a 2 4362 94
a 2 12354 27
a 2 4674 81
a 2 4098 24
a 2 8294 36
a 2 306 53
a 2 316 24
a 2 6412 34
a 2 7180 37
a 2 1124 10
a 2 19484 67
a 2 13122 4
a 2 2610 98
a 2 72 73
a 2 28934 31
a 2 8666 51
a 2 18946 83
a 2 7698 48
a 2 3222 31
a 2 11622 57
a 2 8228 48
a 2 16706 51
a 2 610 55
a 2 466 97
a 2 2082 25
a 2 4122 64
a 2 9300 24
a 2 19110 29
a 2 17450 13
a 2 8418 63
a 2 2726 45
a 2 10754 28
a 2 92 38
a 2 2186 79
a 2 5906 74
a 2 17154 22
a 2 46 79
a 2 4104 46
a 2 6778 86
a 2 2638 15
a 2 8202 11
a 2 8554 66
a 2 1138 82
a 2 14402 79
a 2 24578 13
a 2 4378 59
a 2 1160 0
a 2 17390 71
a 2 3970 77
a 2 11342 64
a 2 4108 34
a 2 4170 44
a 2 2096 65
a 2 3586 71
a 2 13466 33
a 2 8260 92
a 2 10274 79
a 2 2644 84
a 2 4610 42
a 2 7298 46
a 2 34 43
a 2 710 28
a 2 3142 70
a 2 8522 95
a 2 514 14
a 2 26634 73
a 2 8326 87
a 2 16514 61
a 2 766 71
a 2 2312 87
a 2 25662 84
a 2 13338 6
a 2 2132 64
a 2 162 79
a 2 6294 91
a 2 10534 91
a 2 58 90
a 2 27654 69
a 2 5258 49
a 2 9108 92
a 2 512 37
a 2 7274 58
a 2 5026 85
a 2 4866 89
a 2 10372 7
a 2 5084 14
a 2 8340 61
a 2 8212 83
a 2 3266 87
a 2 1086 4
a 2 12316 68
a 2 4118 85
a 2 1218 19
a 2 16950 88
a 2 1794 8
a 2 662 19
a 2 27028 78
a 2 18754 80
a 2 8454 15
a 2 4618 53
a 2 1678 21
a 2 16648 86
a 2 2106 14
a 2 17422 5
a 2 4266 26
a 2 24798 49
a 2 29074 31
a 2 17410 40
a 2 20424 67
a 2 68 77
a 2 25634 4
a 2 538 40
a 2 802 90
a 2 374 27
a 2 138 2
a 2 772 21
a 2 27706 57
a 2 1060 63
a 2 4586 74
a 2 2200 68
a 2 4182 10
a 2 1570 71
a 2 15200 96
a 2 8196 74
a 2 23558 60
a 2 9266 90
a 2 118 85
a 2 1090 18
a 2 28810 53
a 2 16518 83
a 2 10442 50
a 2 18522 5
a 2 148 5
a 2 21028 93
a 2 18 57
a 2 16906 49
a 2 4578 15
a 2 8198 39
a 2 4114 83
a 2 98 53
a 2 5380 69
a 2 8290 36
a 2 5098 64
a 2 5032 25
a 2 4970 67
a 2 12642 69
a 2 10082 20
a 2 10306 22
a 2 62 17
a 2 548 48
a 2 18434 40
a 2 514 65
a 2 24582 63
a 2 1090 28
a 2 4366 24
a 2 4162 8
a 2 16650 46
a 2 20494 22
a 2 22 79
a 2 19762 39
a 2 6474 52
a 2 322 12
a 2 4138 16
a 2 556 65
a 2 7074 10
a 2 19590 7
a 2 2122 28
a 2 24628 5
a 2 29826 58
a 2 8578 17
a 2 9090 83
a 2 2858 89
a 2 264 0
a 2 16586 91
a 2 8444 15
a 2 70 38
a 2 22662 88
a 2 2564 9
a 2 2436 46
a 2 23334 82
a 2 16390 87
a 2 532 95
a 2 8706 89
a 2 194 95
a 2 670 36
a 2 826 30
a 2 104 19
a 2 15172 58
a 2 1266 69
a 2 66 18
a 2 6284 69
a 2 148 92
a 2 4234 57
a 2 5198 5
a 2 2050 29
a 2 1666 44
a 2 16916 8
a 2 6860 97
a 2 11868 49
a 2 13842 31
a 2 166 63
a 2 25382 63
a 2 5262 27
a 2 6146 2
a 2 1290 64
a 2 3542 80
a 2 5340 20
a 2 1602 29
a 2 8514 85
a 2 2 17
a 2 596 44
a 2 13570 40
a 2 1314 33
a 2 3394 72
a 2 9608 65
a 2 4134 59
a 2 29574 62
a 2 1194 86
a 2 2050 90
a 2 1028 2
a 2 706 29
a 2 6 32
a 2 4162 51
a 2 8358 28
a 2 2130 15
a 2 1906 45
a 2 8874 51
a 2 2072 8
a 2 4642 33
a 2 18600 32
a 2 16966 62
a 2 130 92
a 2 2098 28
a 2 9362 49
a 2 7490 19
a 2 6084 76
a 2 3078 8
a 2 8 78
a 2 4098 77
a 2 4264 57
a 2 9218 13
a 2 20 68
a 2 10358 87
a 2 16898 17
a 2 8194 27
a 2 2434 33
a 2 8194 69
a 2 4 28
a 2 27730 2
a 2 26 25
a 2 5438 29
a 2 21032 79
a 2 1482 8
a 2 20556 48
a 2 17474 57
a 2 11670 69
a 2 1542 59
a 2 8614 39
a 2 4666 6
a 2 1890 97
a 2 102 13
a 2 258 59
a 2 8466 83
a 2 16422 49
a 2 4202 81
a 2 7682 28
a 2 8338 42
a 2 18882 98
a 2 14506 75
a 2 418 7
a 2 6150 68
a 2 15094 0
a 2 24654 22
a 2 16520 42
a 2 646 76
a 2 12306 66
a 2 26184 35
a 2 846 50
a 2 5130 64
a 2 24 65
a 2 1048 75
a 2 22786 31
a 2 21938 37
a 2 4678 88
a 2 2074 98
a 2 27150 82
a 2 8414 93
a 2 9346 58
a 2 28674 64
a 2 2104 94
a 2 2306 55
a 2 26 98
a 2 20998 88
a 2 590 89
a 2 16772 96
a 2 10182 21
a 2 42 32
a 2 19620 14
a 2 8866 94
a 2 16486 97
a 2 4236 50
a 2 8618 14
a 2 27962 40
a 2 292 11
a 2 182 98
a 2 9218 34
a 2 2348 61
a 2 8242 75
a 2 8198 76
a 2 7314 10
a 2 340 37
a 2 252 99
a 2 18710 62
a 2 22556 54
a 2 580 21
a 2 3210 61
a 2 674 41
a 2 23042 34
a 2 8220 98
a 2 17554 85
a 2 528 12
a 2 220 56
a 2 536 32
a 2 2324 85
a 2 1160 86
a 2 2060 18
a 2 7300 6
a 2 22628 56
a 2 20058 52
a 2 24598 37
a 2 8222 57
a 2 16474 43
a 2 6148 29
a 2 8706 91
a 2 9526 53
a 2 134 20
a 2 412 26
a 2 5634 92
a 2 2130 64
a 2 8394 33
a 2 2084 54
a 2 11068 77
a 2 4502 40
a 2 9160 8
a 2 306 59
a 2 18474 75
a 2 2 82
a 2 546 77
a 2 16482 98
a 2 6466 68
a 2 170 69
a 2 18530 35
a 2 1996 4
a 2 9546 5
a 2 20618 28
a 2 658 92
a 2 2194 94
a 2 2054 16
a 2 82 18
a 2 2566 97
a 2 262 91
a 2 1052 66
a 2 4450 18
a 2 4182 30
a 2 2056 85
a 2 2066 68
a 2 17444 50
a 2 12 39
a 2 530 93
a 2 22058 4
a 2 2690 64
a 2 388 28
a 2 930 14
a 2 22564 21
a 2 3298 15
a 2 21512 5
a 2 24590 68
a 2 82 98
a 2 642 40
a 2 2 94
a 2 19898 34
a 2 3074 86
a 2 9496 61
a 2 6270 96
a 2 8610 17
a 2 440 50
a 2 1080 24
a 2 26700 44
a 2 16546 17
a 2 20010 70
a 2 21542 1
a 2 706 42
a 2 10660 17
a 2 698 71
a 2 842 71
a 2 8402 99
a 2 25986 3
a 2 566 7
a 2 6146 79
a 2 132 55
a 2 20164 28
a 2 12418 26
a 2 17026 55
a 2 4352 52
a 2 25492 48
a 2 17442 67
a 2 228 55
a 2 258 72
a 2 134 84
a 2 13802 85
a 2 3086 63
a 2 1958 45
a 2 260 28
a 2 450 48
a 2 876 89
a 2 9254 78
a 2 12290 79
a 2 14610 72
a 2 16678 27
a 2 8208 53
a 2 11282 28
a 2 22146 31
a 2 74 70
a 2 8770 67
a 2 3094 59
a 2 4364 99
a 2 28838 89
a 2 6918 24
a 2 9426 98
a 2 1354 93
a 2 12870 17
a 2 1034 62
a 2 8296 88
a 2 5122 7
a 2 10660 94
a 2 30864 38
a 2 4850 23
a 2 322 53
a 2 8450 15
a 2 16690 62
a 2 10498 88
a 2 5030 13
a 2 578 32
a 2 25190 94
a 2 28238 29
a 2 17926 61
a 2 1346 40
a 2 10 72
a 2 9322 8
a 2 10818 93
a 2 16388 51
a 2 9286 57
a 2 24578 35
a 2 1866 82
a 2 8926 91
a 2 29762 59
a 2 3104 67
a 2 29186 12
a 2 2062 6
a 2 18446 92
a 2 2646 98
a 2 66 31
a 2 20486 66
a 2 4226 59
a 2 4100 75
a 2 2070 78
a 2 298 59
a 2 374 73
a 2 28814 49
a 2 28842 2
a 2 8276 59
a 2 1668 67
a 2 1042 54
a 2 8200 63
a 2 1366 75
a 2 2180 90
a 2 2742 8
a 2 7818 86
a 2 18530 42
a 2 10524 87
a 2 1028 35
a 2 3738 95
a 2 610 78
a 2 24770 68
a 2 260 46
a 2 10286 69
a 2 24898 6
a 2 8206 8
a 2 4106 82
a 2 10764 65
a 2 138 56
a 2 5774 9
a 2 2860 69
a 2 4356 96
a 2 10546 17
a 2 16982 6
a 2 16686 96
a 2 1090 29
a 2 6416 35
a 2 962 39
a 2 12850 27
a 2 310 89
a 2 4124 57
a 2 722 63
a 2 27876 54
a 2 772 22
a 2 2562 56
a 2 2442 92
a 2 25100 13
a 2 9220 67
a 2 9244 63
a 2 12966 94
a 2 1348 56
a 2 12300 9
a 2 9764 32
a 2 2822 84
a 2 29282 11
a 2 8354 50
a 2 2578 6
a 2 15004 81
a 2 8630 73
a 2 19082 35
a 2 20490 95
a 2 8322 22
a 2 14728 88
a 2 6216 72
a 2 4624 19
a 2 12300 25
a 2 12390 13
a 2 314 67
a 2 13858 98
a 2 1028 87
a 2 418 79
a 2 2662 68
a 2 8518 45
a 2 1186 67
a 2 1420 80
a 2 2090 36
a 2 12308 95
a 2 140 15
a 2 5730 88
a 2 1046 26
a 2 322 60
a 2 5146 9
a 2 8786 1
a 2 2334 30
a 2 6196 73
a 2 3586 99
a 2 2910 90
a 2 3210 82
a 2 17700 33
a 2 3252 39
a 2 2434 92
a 2 8642 67
a 2 10572 50
a 2 308 83
a 2 16980 65
a 2 1320 30
a 2 566 18
a 2 6672 50
a 2 1538 1
a 2 3098 70
a 2 6258 4
a 2 21270 94
a 2 8268 89
a 2 4164 61
a 2 178 76
a 2 4100 77
a 2 16468 82
a 2 2150 99
a 2 1034 81
a 2 18570 32
a 2 20482 76
a 2 14730 76
a 2 11290 51
a 2 336 68
a 2 17954 39
a 2 4098 92
a 2 12314 86
a 2 1602 58
a 2 8202 99
a 2 4310 17
a 2 8012 60
a 2 2054 38
a 2 10244 31
a 2 8210 32
a 2 5126 47
a 2 1034 88
a 2 1292 47
a 2 8504 45
a 2 14594 30
a 2 20684 73
a 2 842 96
a 2 8264 21
a 2 6406 32
a 2 16808 32
a 2 8460 33
a 2 146 96
a 2 14 78
a 2 5184 46
a 2 10290 62
a 2 8534 3
a 2 24 70
a 2 42 78
a 2 18692 99
a 2 66 64
a 2 450 56
a 2 34 44
a 2 1058 91
a 2 356 89
a 2 12522 50
a 2 266 39
a 2 3506 50
a 2 5136 77
a 2 322 80
a 2 998 38
a 2 4292 96
a 2 16516 20
a 2 18468 74
a 2 3106 66
a 2 1346 75
a 2 1044 95
a 2 38 49
a 2 16452 86
a 2 11534 97
a 2 108 76
a 2 600 33
a 2 17644 58
a 2 29186 43
a 2 10346 27
a 2 10642 73
a 2 9378 50
a 2 14722 37
a 2 4546 86
a 2 9252 34
a 2 7946 29
a 2 3076 59
a 2 2210 34
a 2 5166 42
a 2 2210 62
a 2 26182 7
a 2 12370 25
a 2 518 57
a 2 19346 21
a 2 17412 75
a 2 2354 24
a 2 13412 28
a 2 2844 24
a 2 7442 69
a 2 10266 23
a 2 6534 78
a 2 2212 51
a 2 14362 43
a 2 106 91
a 2 8530 2
a 2 7338 84
a 2 1584 20
a 2 2826 38
a 2 2226 10
a 2 1062 9
a 2 9002 8
a 2 17074 99
a 2 150 60
a 2 18518 61
a 2 54 42
a 2 14338 88
a 2 2660 90
a 2 14374 28
a 2 24750 75
a 2 8230 74
a 2 12554 3
a 2 2244 51
a 2 12546 53
a 2 16402 73
a 2 3262 0
a 2 2130 78
a 2 7002 48
a 2 14152 86
a 2 24668 89
a 2 16674 76
a 2 6792 90
a 2 20 93
a 2 1334 10
a 2 27278 2
a 2 6412 94
a 2 662 70
a 2 2822 89
a 2 74 90
a 2 18498 67
a 2 358 40
a 2 1730 54
a 2 6266 49
a 2 30882 83
a 2 564 94
a 2 12854 15
a 2 16410 40
a 2 16502 44
a 2 1026 3
a 2 4290 45
a 2 10448 84
a 2 5316 21
a 2 14882 41
a 2 204 74
a 2 6218 58
a 2 518 74
a 2 8610 47
a 2 20578 85
a 2 1474 2
a 2 2058 3
a 2 996 8
a 2 15626 23
a 2 2378 76
a 2 1196 80
a 2 4498 98
a 2 11334 89
a 2 1368 55
a 2 6182 65
a 2 24588 12
a 2 386 2
a 2 2568 35
a 2 1412 90
a 2 13654 43
a 2 8746 80
a 2 1298 89
a 2 17482 69
a 2 3330 30
a 2 2824 23
a 2 4104 86
a 2 18962 21
a 2 1050 26
a 2 17496 42
a 2 86 16
a 2 202 50
a 2 1170 26
a 2 6438 60
a 2 13974 86
a 2 1378 99
a 2 9094 11
a 2 2346 90
a 2 17582 34
a 2 17482 98
a 2 6154 99
a 2 1076 11
a 2 19102 80
a 2 2078 47
a 2 3346 49
a 2 1090 30
a 2 1158 79
a 2 18 90
a 2 8450 58
a 2 4358 48
a 2 18994 98
a 2 6708 76
a 2 2962 2
a 2 5386 41
a 2 26648 86
a 2 390 37
a 2 1026 22
a 2 1810 36
a 2 13628 57
a 2 4228 56
a 2 9474 97
a 2 18566 50
a 2 1650 7
a 2 34 79
a 2 21154 44
a 2 5218 10
a 2 16834 55
a 2 60 68
a 2 76 30
a 2 14604 5
a 2 690 29
a 2 8600 75
a 2 4 34
a 2 16388 78
a 2 9482 86
a 2 346 1
a 2 50 79
a 2 12366 12
a 2 17142 61
a 2 17450 78
a 2 24622 71
a 2 146 97
a 2 14414 87
a 2 844 87
a 2 8 89
a 2 28 46
a 2 16530 15
a 2 262 93
a 2 772 88
a 2 8540 18
a 2 522 2
a 2 692 20
a 2 2642 70
